,Id,Title,Description,Popularity,Genres,Release Date,Rating,Vote Count,Revenue
4079,93856,Chernobyl Diaries,"A group of six tourists looking to go off the beaten path, hire an 'extreme tour guide' who, ignoring warnings, takes them into the city of Pripyat, the former home to the workers of the Chernobyl nuclear reactor, but now a deserted town since the disaster more than 25 years earlier. After a brief exploration of the abandoned city, the group members find themselves stranded, only to discover that they are not alone.",19.675,"['Horror', 'Thriller']",2012-05-24,5.2,1388,38390020
4080,45242,Dennis the Menace Strikes Again!,"Barricade the doors. Lock the windows. Because he's baaaack. That one-boy wrecking crew, Dennis the Menace, returns for more mischief and mayhem. Based on the comic strip and TV show about a mischievous little boy with a gift for the potentially lethal prank.",19.671,"['Family', 'Comedy']",1998-07-14,5.4,185,0
4081,596161,Let Him Go,"Following the loss of their son, a retired sheriff and his wife leave their Montana ranch to rescue their young grandson from the clutches of a dangerous family living off the grid in the Dakotas.",19.668,"['Drama', 'Thriller', 'Crime', 'Western']",2020-11-05,6.9,455,7997460
4082,13490,Welcome Home Roscoe Jenkins,"When a celebrated TV show host returns to his hometown in the South, his family is there to remind him that going home is no vacation!",19.663,"['Comedy', 'Drama']",2008-02-08,6.1,235,43650785
4083,3034,Young Frankenstein,"A young neurosurgeon inherits the castle of his grandfather, the famous Dr. Victor von Frankenstein. In the castle he finds a funny hunchback, a pretty lab assistant and the elderly housekeeper. Young Frankenstein believes that the work of his grandfather was delusional, but when he discovers the book where the mad doctor described his reanimation experiment, he suddenly changes his mind.",19.662,['Comedy'],1974-12-15,7.9,2677,86273333
4084,8337,They Live,"Nada, a wanderer without meaning in his life, discovers a pair of sunglasses capable of showing the world the way it truly is. As he walks the streets of Los Angeles, Nada notices that both the media and the government are comprised of subliminal messages meant to keep the population subdued, and that most of the social elite are skull-faced aliens bent on world domination. With this shocking discovery, Nada fights to free humanity from the mind-controlling aliens.",19.66,"['Science Fiction', 'Action']",1988-11-23,7.3,2408,13008928
4085,8321,In Bruges,"Ray and Ken, two hit men, are in Bruges, Belgium, waiting for their next mission. While they are there they have time to think and discuss their previous assignment. When the mission is revealed to Ken, it is not what he expected.",19.651,"['Comedy', 'Drama', 'Crime']",2008-02-08,7.5,4228,34533783
4086,42941,30 Days of Night: Dark Days,"After surviving the incidents in Barrow, Alaska, Stella Olemaun relocates to Los Angeles, where she intentionally attracts the attention of the local vampire population in order to avenge the death of her husband, Eben.",19.642,"['Horror', 'Thriller']",2010-10-04,4.9,425,0
4087,332356,Killing Jesus,Jesus of Nazareth’s life and ministry were subject to seismic social and political events that led to his execution and changed the world forever.,19.637,"['Drama', 'History', 'TV Movie']",2015-04-05,6.3,66,0
4088,513421,Discarnate,A neuroscientist's obsession with a drug that expands the human mind inadvertently unleashes a deadly supernatural force on his team.,19.634,"['Horror', 'Thriller']",2019-02-20,5.4,79,0
4089,38780,Rampage,"The boredom of small town life is eating Bill Williamson alive. Feeling constrained and claustrophobic in the meaningless drudgery of everyday life and helpless against overwhelming global dissolution, Bill begins a descent into madness. His shockingly violent plan will shake the very foundations of society by painting the streets red with blood.",19.634,"['Action', 'Drama', 'Crime', 'Thriller', 'Mystery']",2009-08-14,6.0,353,0
4090,16535,Titanic,"Unhappily married, Julia Sturges decides to go to America with her two children on the Titanic. Her husband, Richard also arranges passage on the luxury liner so as to have custody of their two children. All this fades to insignificance once the ship hits an iceberg.",19.633,"['Drama', 'Romance']",1953-04-11,6.5,90,4905000
4091,77016,End of Watch,Two young officers are marked for death after confiscating a small cache of money and firearms from the members of a notorious cartel during a routine traffic stop.,19.632,"['Crime', 'Drama', 'Thriller']",2012-09-20,7.3,2751,48126384
4092,454652,Colette,"After marrying a successful Parisian writer known commonly as Willy, Sidonie-Gabrielle Colette is transplanted from her childhood home in rural France to the intellectual and artistic splendor of Paris. Soon after, Willy convinces Colette to ghostwrite for him. She pens a semi-autobiographical novel about a witty and brazen country girl named Claudine, sparking a bestseller and a cultural sensation. After its success, Colette and Willy become the talk of Paris and their adventures inspire additional Claudine novels.",19.627,"['Drama', 'History']",2018-09-21,7.0,788,14273033
4093,309886,Blood Father,An ex-con reunites with his estranged wayward 16-year old daughter to protect her from drug dealers who are trying to kill her.,19.624,"['Action', 'Thriller', 'Drama']",2016-08-11,6.2,1342,6903033
4094,37233,The Firm,"Mitch McDeere is a young man with a promising future in Law. About to sit his Bar exam, he is approached by 'The Firm' and made an offer he doesn't refuse. Seduced by the money and gifts showered on him, he is totally oblivious to the more sinister side of his company. Then, two Associates are murdered. The FBI contact him, asking him for information and suddenly his life is ruined. He has a choice - work with the FBI, or stay with the Firm. Either way he will lose his life as he knows it. Mitch figures the only way out is to follow his own plan...",19.609,"['Drama', 'Mystery', 'Thriller']",1993-06-30,6.7,1659,270248367
4095,50348,The Lincoln Lawyer,A lawyer conducts business from the back of his Lincoln town car while representing a high-profile client in Beverly Hills.,19.608,"['Crime', 'Drama', 'Thriller']",2011-03-17,7.2,2695,85412898
4096,13550,The Changeling,"After a tragic event happens, composer John Russell moves to Seattle to try to overcome it and build a new and peaceful life in a lonely big house that has been uninhabited for many years. But, soon after, the obscure history of such an old mansion and his own past begin to haunt him.",19.599,['Horror'],1980-03-28,7.1,478,12000000
4097,10357,Volcano,"An earthquake shatters a peaceful Los Angeles morning and opens a fissure deep into the earth, causing lava to start bubbling up. As a volcano begins forming in the La Brea Tar Pits, the director of the city's emergency management service, working with a geologist, must then use every resource in the city to try and stop the volcano from consuming LA.",19.592,"['Science Fiction', 'Action', 'Drama', 'Thriller']",1997-04-25,5.9,1239,122823468
4098,404378,A Street Cat Named Bob,"James Bowen, a homeless busker and recovering drug addict, has his life transformed when he meets a stray ginger cat.",19.588,"['Family', 'Drama']",2016-11-04,7.9,1164,82703
4099,347031,Swiss Army Man,"Alone on a tiny deserted island, Hank has given up all hope of ever making it home again. But one day everything changes when a dead body washes ashore, and he soon realizes it may be his last opportunity to escape certain death. Armed with his new “friend” and an unusual bag of tricks, the duo go on an epic adventure to bring Hank back to the woman of his dreams.",19.585,"['Comedy', 'Drama', 'Romance', 'Fantasy', 'Adventure']",2016-06-24,6.9,3032,4900000
4100,716612,Spencer,"During her Christmas holidays with the royal family at the Sandringham estate in Norfolk, England, Diana decides to leave her marriage to Prince Charles.",19.583,['Drama'],2021-11-04,6.9,1276,14000000
4101,71,Billy Elliot,County Durham England 1984 the miners strike has started and the police have started coming up from Bethnal Green starting a class war with the lower classes suffering caught in the middle of the conflict is 11-year old Billy Elliot who after leaving his boxing club for the day stubbles upon a ballet class and finds out that he's naturally talented. He practices with his teacher Mrs Wilkinson for an upcoming audition in Newcastle-upon Tyne the audition is for the royal Ballet school in London.,19.582,"['Drama', 'Comedy', 'Music']",2000-09-28,7.6,3341,109280263
4102,11571,Journey to the Center of the Earth,An Edinburgh professor and assorted colleagues follow an explorer's trail down an extinct Icelandic volcano to the earth's center.,19.58,"['Adventure', 'Fantasy', 'Family']",1959-12-15,7.0,363,10000000
4103,11879,Near Dark,A farm boy reluctantly becomes a member of the undead when a girl he meets turns out to be part of a band of vampires who roam the highways in stolen cars.,19.572,['Horror'],1987-10-02,6.9,576,0
4104,405965,An Ordinary Man,A war criminal in hiding forms a relationship with his only connection to the outside world - his maid.,19.571,"['Action', 'Drama', 'War']",2017-10-09,6.3,133,0
4105,1817,Phone Booth,"A slick New York publicist who picks up a ringing receiver in a phone booth is told that if he hangs up, he'll be killed... and the little red light from a laser rifle sight is proof that the caller isn't kidding.",19.571,"['Crime', 'Mystery', 'Thriller']",2003-04-04,6.8,3141,97837138
4106,76649,Pompeii,"In 79 A.D., Milo, a slave turned gladiator, finds himself in a race against time to save his true love Cassia, the beautiful daughter of a wealthy merchant who has been unwillingly betrothed to a corrupt Roman Senator. As Mount Vesuvius erupts in a torrent of blazing lava, Milo must fight his way out of the arena in order to save his beloved as the once magnificent Pompeii crumbles around him.",19.57,"['Action', 'Adventure', 'History', 'Romance', 'Drama']",2014-02-18,5.5,2920,117831631
4107,602307,Lego DC Batman: Family Matters,"Suspicion is on high after Batman, Batgirl, Robin and other DC superheroes receive mysterious invitations. However, family values must remain strong when Batman and his team encounter the villainous Red Hood, who is obsessed with destroying the Bat-family and all of Gotham City.",19.569,"['Animation', 'Family', 'Action', 'Comedy']",2019-07-21,7.1,109,0
4108,9559,A Perfect World,"A kidnapped boy strikes up a friendship with his captor: an escaped convict on the run from the law, headed by an honorable U.S. Marshal.",19.565,"['Crime', 'Drama', 'Thriller']",1993-11-24,7.5,1359,135130999
4109,302,Swimming Pool,"A British crime novelist travels to her publisher's upmarket summer house in Southern France to seek solitude in order to work on her next book. However, the unexpected arrival of the publisher's daughter induces complications and a subsequent crime.",19.565,"['Crime', 'Thriller']",2003-05-21,6.5,561,22441323
